127.0.0.1 - - [03/Jun/2024:15:04:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/ HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/css/main.css HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/img/introduce/introduce1.png HTTP/1.1" 200 637675
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/img/introduce/introduce2.png HTTP/1.1" 200 161332
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /project_ql_kh/resources/design/assets/img/introduce/introducemain.png HTTP/1.1" 200 149532
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:06 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:10 +0700] "GET /project_ql_kh/login HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:10 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:10 +0700] "GET /project_ql_kh/resources/design/assets/css/login.css HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:10 +0700] "GET /project_ql_kh/resources/assets1/img/logo/logostoreblue.png/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:20 +0700] "POST /project_ql_kh/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:20 +0700] "GET /project_ql_kh/login?error HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:20 +0700] "GET /project_ql_kh/resources/design/assets/css/login.css HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:20 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "POST /project_ql_kh/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/checkrole HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/user/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 200 7946
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 8505
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:27 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:31 +0700] "GET /project_ql_kh/viewKhachHang/homeSanPham HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:31 +0700] "GET /project_ql_kh/viewSanpham/ HTTP/1.1" 200 8769
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:31 +0700] "GET /project_ql_kh/viewSanpham/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:31 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [03/Jun/2024:15:04:31 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
